,,CRESTAR,130,5,0,0,0,0
+ACC,ACCESSORIES,,1E+05,1E+05,1E+05,0,0,0
+ACC 1000MM ROD,1M ROD WITH BASE/1L ROUND,,10,0,0,3.3,55,0
+ACC 1C WH WIRE,1 CORE WHITE WIRE,ACETRONIC,602,0,0,0.24,2,0
+ACC 2C BK WIRE,2 CORE BLACK WIRE,,1045,-13,0,0.45,5,0
+ACC 2C BK/FA WIRE,2 CORE BLACK FABRIC CABLE,FANCO,98,-1,0,0,6,0
+ACC 2C GR/FA WIRE,2 CORE GREEN FABRIC CABLE,,242,0,0,0,6,0
+ACC 2C OR/FA WIRE,2 CORE ORANGE FABRIC CABLE,,10,0,0,0,6,0
+ACC 2C PK/FA WIRE,2 CORE PINK FABRIC CABLE,,79,0,0,0,6,0
+ACC 2C PP/FA WIRE,2 CORE PURPLE FABRIC WIRE,,278,0,0,0,6,0
+ACC 2C RD/FA WIRE,2 CORE RED FABRIC CABLE,,197,0,0,0,6,0
+ACC 2C T5 WH WIRE,2 CORE WHITE WIRE (T5),,430,-2,0,0.15,0,0
+ACC 2C TR WIRE,2CORE TRANSPARENT WIRE (METRE)-IID,,697.4,0,0,0.45,6,0
+ACC 2C TR WIRE HI GH HEAT,2C TRANSPARENT CABLE HIGH HEAT,,270,0,0,0,0,0
+ACC 2C WH WIRE,2 CORE x 0.75 PVC WHITE WIRE (M),,477.4,-1,0,0.51,3,0
+ACC 2C WH/FA WIRE,2 CORE WHITE FABRIC CABLE,,330,0,0,1.26,6,0
+ACC 2C/1 TR WIRE,2 CORE TRANSPARENT WIRE C/W STEEL CABLE,,716.5,0,0,1.2,8,0
+ACC 3C BK WIRE,3 CORE BLACK WIRE,,-3,-1,0,0.6,8,0
+ACC 3C/40 GY WIRE,3COIL/40/0176 WIRE (GY),NME,0,0,0,0,0,0
+ACC 400MM ROD,400MM ROD WITH BASE/1L ROUND,,3,-1,0,3,35,0
+ACC 500MM ROD,500MM ROD WITH BASE/1L ROUND,,5,0,0,3,40,0
+ACC 800MM ROD,800MM ROD WITH BASE/1L ROUND,,10,0,0,3,55,0
+ACC BASE P181/3 RD,SY P181/3 ROUND BASE Ø300 WHITE (3xE27),,0,0,0,0,50,0
+ACC BASE P181/3 RECT,SY P181/3 RECT BASE L650 WHITE (3xE27),,-1,2,0,0,65,0
+ACC BASE R300S,ROUND BASE (300MM) SSV,,-22,1,0,0,50,0
+ACC BASE R400/1L WH,BASE/1L ROUND Ø400 WHITE,,15,0,0,0,75,0
+ACC BASE R400B,ROUND BASE (400MM) BROWN,,-12,0,0,0,75,0
+ACC BASE R400S,ROUND BASE (400MM) SSV,,-9,0,0,15,75,0
+ACC BASE R500 WH,ROUND BASE (500MM) WHITE,,35,0,0,0,85,0
+ACC BASE R500S,ROUND BASE (500MM) SSV,,-1,0,0,0,85,0
+ACC BASE RD 1L,BASE/1L ROUND DIA-100MM SSV,,98,1,0,0.87,20,0
+ACC BASE RD 1L AB,BASE/1L ROUND DIA-100MM ANTIQUE BRASS,,16,-3,0,0.87,20,0
+ACC BASE RD/1L BK,BASE/1L ROUND DIA-120MM BLACK,,380,2,0,0.69,20,0
+ACC BASE RD/1L CAFÉ,ROUND BASE/1L (120MM) CAFÉ,,205,-1,0,1.05,25,7
+ACC BASE RD/1L CR,BASE RD/1L DIA-100MM CHROME,,30,0,0,0.87,25,0
+ACC BASE RD/1L WH,BASE/1L ROUND DIA-120MM WHITE,,173,-2,0,0.6,25,0
+ACC BASE RD3LB,BASE/3L ROUND 300MM BROWN,,-11,0,0,4.5,50,0
+ACC BASE STR3L,BASE/3L STRAIGHT-700MM SSV,,11,0,0,0,65,0
+ACC BASE STR3L WH,BASE/3L STRAIGHT-700MM WHITE,,-2,0,0,0,65,0
+ACC BASE STR5L,BASE/3-5L STRAIGHT-1000MM WHITE,,13,0,0,0,85,0
+ACC BASE/1L/3SC S,BASE/1L SSV C/W 3 STEEL CABLE,,17,0,0,0,60,0
+ACC C/L CAP AB,ANTIQUE BRASS CEILING CAP - NW,,8,0,0,0,45,0
+ACC CAP1P5.CCMC,CCM 1.5MM2 PVC CABLE (BLUE),CHOOCHIANG,0,29,0,0,0,0
+ACC CAP1P5.CCME,CCM 1.5MM2 PVC CABLE (GREEN/YELLOW),CHOOCHIANG,0,57,0,0,0,0
+ACC CAP1P5.CCMK,CCM 1.5MM2 PVC CABLE (BROWN),CHOOCHIANG,0,64,0,0,0,0
+ACC CAP2P5.CCMC,CCM 2.5MM2 PVC CABLE (BLUE),CHOOCHIANG,0,50,0,0,0,0
+ACC CAP2P5.CCME,CCM 2.5MM2 PVC CABLE (GREEN/YELLOW),CHOOCHIANG,0,49,0,0,0,0
+ACC CAP2P5.CCMK,CCM 2.5MM2 PVC CABLE (BROWN),CHOOCHIANG,0,47,0,0,0,0
+ACC CEILING ROSE,CEILING ROSE WHITE,,0,0,0,0,5,0
+ACC CHAIN A/B,ANTIQUE BRASS CHAIN (METRE) - NW,,-4,0,0,3,15,8
+ACC CHAIN AB 3x48,ANTIQUE BRASS CHAIN 3x48mm (Metre) - NW,,0,0,0,0,0,0
+ACC CHAIN AB 4x45,ANTIQUE BRASS CHAIN 4x45mm (Metre),,18,-3.2,0,0,0,0
+ACC CHAIN AB 4x50,ANTIQUE BRASS CHAIN 4x50mm (Metre) - NW,,0,0,0,0,0,0
+ACC CHAIN AB 5x45,ANTIQUE BRASS CHAIN 5x45mm (Metre),,118,1,0,0,0,0
+ACC CHAIN AB 5x50,ANTIQUE BRASS CHAIN 4x50mm (Metre),,0,0,0,0,0,0
+ACC CHAIN BK,BLACK CHAIN (4040/5) METER-A32,,-26,-1,0,0,0,0
+ACC CHAIN BK 4x45,BLACK CHAIN 4x45mm (Metre),,27,0,0,0,0,0
+ACC CHAIN BK 4x50,BLACK CHAIN 4x50mm (Metre),,8.3,0,0,0,0,0
+ACC CHAIN BK 5x50,BLACK CHAIN 5x50mm (Metre),,0,0,0,0,0,0
+ACC CHAIN CH 2x40,CHROME CHAIN 2x40mm (Metre),,15,0,0,0,0,0
+ACC CHAIN CH 3x40,CHROME CHAIN 3x40mm (Metre),,4,0,0,0,0,0
+ACC CHAIN CH 3x48,CHROME CHAIN 3x48mm (Metre) - NW,,0,0,0,0,0,0
+ACC CHAIN CH 4x40,CHROME CHAIN 4x40mm (Metre),,25,0,0,0,0,0
+ACC CHAIN CH 4x50,CHROME CHAIN 4x50mm (Metre) - NW,,0,0,0,0,0,0
+ACC CHAIN CH 5x45,CHROME CHAIN 5x45mm (Metre) - A7,,0,0,0,0,0,0
+ACC CHAIN CH 5x52,CHROME CHAIN 5x52MM (Metre) - A7,,0,0,0,0,0,0
+ACC CHAIN CH 6x45,CHROME CHAIN 6x45mm (Metre),,28,0,0,0,0,0
+ACC CHAIN CH 6x48,CHROME CHAIN 6x48mm (Metre) - A7,,0,0,0,0,0,0
+ACC CHAIN CH 7x50,CHROME CHAIN 7x50mm (Metre),,25,0,0,0,0,0
+ACC CHAIN CHR,CHROME CHAIN (METRE) - A7,,0,0,0,5.7,20,10
+ACC CHAIN ET - A6,ET CHAIN - 6 (PER METRE),,0,0,0,0,0,0
+ACC CHAIN GD 3x40,GOLD PLEATED CHAIN 3x40mm (Metre),,4,0,0,0,0,0
+ACC CHAIN GD 4x45,GOLD PLATED CHAIN 4X45MM (METRE),,99.5,0,0,0,0,0
+ACC CHAIN GD 4x50,GOLD PLATED CHAIN 4x50mm (Metre) - NW,,0,0,0,0,0,0
+ACC CHAIN GD 5x50,GOLD PLATED CHAIN 5x50mm (Metre),,50,0,0,0,0,0
+ACC CHAIN GD 6x40,GOLD PLATED CHAIN 6x40mm (Metre),,1,0,0,0,0,0
+ACC CHAIN GOLD,GOLD PLATED CHAIN (FEET) -ALC,,0,0,0,7.5,22,10
+ACC CLIP 13MM,13MM PLASTIC MOUNTING CLIP FOR ROPELIGHT,,4,0,0,0.12,0.5,0
+ACC CLIP T5 (U),T5 U-CLIP FOR CIRCULAR TUBES,,196,0,0,0.06,0.3,0
+ACC DMX 512 DECO DER,A109 ACC DMX 512 Decoder,,0,1,0,0,0,0
+ACC EC-8MM-1,A109 ACC EC-8MM-1 End Cap for 8MM COB/SMD strip,,0,50,0,0,0,0
+ACC ELCB CE240B,HAGER CE240B 40A 100MA 2P ELCB,,0,0,0,28.5,0,0
+ACC ELCB240B,HAGER CD240B 40A 30MA 2P ELCB,CHOOCHIANG,0,0,0,23,0,0
+ACC FL/BK SWITCH,FLOOR LAMP SWITCH BK (ON-OFF),,17,1,0,3,25,0
+ACC FL/WH SWITCH,FLOOR LAMP SWITCH WHITE (ON-OFF),,7,0,0,3,25,0
+ACC GLASS BITS,GLASS CRYSTAL BITS,,160,0,0,0.18,2,0
+ACC HOLDER 3XE27,3XE27 BLACK LAMPHOLDER -LF,,297,0,0,2.1,15,5
+ACC HOLDER 3XE2 7WH,3XE27 WHITE LAMPHOLDER -LF,,-4,0,0,3.6,0,0
+ACC HOLDER 4XE27,4XE27 BLACK LAMPHOLDER -LF,,12,0,0,2.7,18,6
+ACC HOLDER 4XE2 7WH,4 X E27 WHITE LAMPHOLDER -LF,,73,0,0,2.7,18,6
+ACC HOLDER 5XE27,5XE27 BLACK LAMPHOLDER -LF,,2,0,0,3.45,22,8
+ACC HOLDER 5XE2 7WH,5 X E27 WHITE LAMPHOLDER -LF,,55,0,0,3.45,22,8
+ACC IP-SC-2PIN-8M M-B,A109 ACC IP-SC-2PIN-8MM-B Waterproof puncture: single end,,0,20,0,0,0,0
+ACC IP-SC-2PIN-8M M-C,A109 ACC IP-SC-2PIN-8MM-C Waterproof puncture: middle,,0,10,0,0,0,0
+ACC IP-SC-2PIN-8M M-L,A109 ACC IP-SC-2PIN-8MM-L Waterproof L connector for 8mm,,0,10,0,0,0,0
+ACC MCB240B6.HG,HAGER MT240 MCB DP 40A 'B' 6KA,CHOOCHIANG,0,0,0,0,0,0
+ACC POLE750,"GALVANIZED STEEL POLE PU BLACK (H750mm, Dia60mm)-",,0,0,0,80,180,0
+ACC SC-2PIN-5MM-L,A109 ACC L connector for 5MM IP20 COB strip 2Pin,,0,99,0,0,0,0
+ACC SC-2PIN-5MM-STR,A109 ACC clear connector for 5MM COB strip 2PIN STRAIGHT,,0,50,0,0,0,0
+ACC SC-2PIN-5MM-T,A109 ACC T connector for 5MM IP20 COB strip 2 Pin,,0,0,0,0,0,0
+ACC SCREENED CA BLE,ACC SCREENED CABLE,LASER ACE,3000,0,0,0,0,0
+ACC SLEEVE GD,CANDLE SLEEVE (GOLD) 25X55MM,,24,0,0,0.9,4,0
+ACC SPIKE (GLOBE),SPIKE FOR GLOBE (D60MM),,0,0,0,0,25,0
+ACC STEEL WIRE,STEEL WIRE (METRE)-IID,,1729,0,0,0,6,0
+ACC TL STD/BASE,Silver Stand(Ht300mm) & Base(Dia193mm) for,,3,1,0,12,0,0
+ACC TL/BK SWITCH,TABLE LAMP SWITCH BK (ON-OFF),,39,-3,0,2.1,12,0
