Handle,Title,Description,Vendor,Status,Published on online store,SKU,Option1 Name,Option1 Value,Option2 Value,Option3 Value,Price,Cost per item,Inventory tracker,Inventory quantity,Continue selling when out of stock,Requires shipping,Fulfillment service,Tags,RLF inventory (product.metafields.custom.rlf_inventory),IMM inventory (product.metafields.custom.imm_inventory),Wholesale price (product.metafields.custom.wholesale_price),Legacy WHSE (product.metafields.custom.legacy_whse)
acc-1000mm-rod,1M ROD WITH BASE/1L ROUND,,,active,true,+ACC 1000MM ROD,Default Title,Default Title,,,55,3.3,shopify,10,deny,true,manual,legacy-import,0,0,0,10
acc-1c-wh-wire,1 CORE WHITE WIRE,,ACETRONIC,active,true,+ACC 1C WH WIRE,Default Title,Default Title,,,2,0.24,shopify,602,deny,true,manual,legacy-import,0,0,0,602
acc-2c-bk-wire,2 CORE BLACK WIRE,,,active,true,+ACC 2C BK WIRE,Default Title,Default Title,,,5,0.45,shopify,1045,deny,true,manual,legacy-import,-13,0,0,1045
acc-2c-bk-fa-wire,2 CORE BLACK FABRIC CABLE,,FANCO,active,true,+ACC 2C BK/FA WIRE,Default Title,Default Title,,,6,0,shopify,98,deny,true,manual,legacy-import,-1,0,0,98
acc-2c-gr-fa-wire,2 CORE GREEN FABRIC CABLE,,,active,true,+ACC 2C GR/FA WIRE,Default Title,Default Title,,,6,0,shopify,242,deny,true,manual,legacy-import,0,0,0,242
acc-2c-or-fa-wire,2 CORE ORANGE FABRIC CABLE,,,active,true,+ACC 2C OR/FA WIRE,Default Title,Default Title,,,6,0,shopify,10,deny,true,manual,legacy-import,0,0,0,10
acc-2c-pk-fa-wire,2 CORE PINK FABRIC CABLE,,,active,true,+ACC 2C PK/FA WIRE,Default Title,Default Title,,,6,0,shopify,79,deny,true,manual,legacy-import,0,0,0,79
acc-2c-pp-fa-wire,2 CORE PURPLE FABRIC WIRE,,,active,true,+ACC 2C PP/FA WIRE,Default Title,Default Title,,,6,0,shopify,278,deny,true,manual,legacy-import,0,0,0,278
acc-2c-rd-fa-wire,2 CORE RED FABRIC CABLE,,,active,true,+ACC 2C RD/FA WIRE,Default Title,Default Title,,,6,0,shopify,197,deny,true,manual,legacy-import,0,0,0,197
acc-2c-t5-wh-wire,2 CORE WHITE WIRE (T5),,,draft,false,+ACC 2C T5 WH WIRE,Default Title,Default Title,,,0,0.15,shopify,430,deny,true,manual,"legacy-import, legacy-zero-retail",-2,0,0,430
acc-2c-tr-wire,2CORE TRANSPARENT WIRE (METRE)-IID,,,active,true,+ACC 2C TR WIRE,Default Title,Default Title,,,6,0.45,shopify,697,deny,true,manual,"legacy-import, legacy-fractional-whse",0,0,0,697.4
acc-2c-tr-wire-hi-gh-heat,2C TRANSPARENT CABLE HIGH HEAT,,,draft,false,+ACC 2C TR WIRE HI GH HEAT,Default Title,Default Title,,,0,0,shopify,270,deny,true,manual,"legacy-import, legacy-zero-retail",0,0,0,270
acc-2c-wh-wire,2 CORE x 0.75 PVC WHITE WIRE (M),,,active,true,+ACC 2C WH WIRE,Default Title,Default Title,,,3,0.51,shopify,477,deny,true,manual,"legacy-import, legacy-fractional-whse",-1,0,0,477.4
acc-2c-wh-fa-wire,2 CORE WHITE FABRIC CABLE,,,active,true,+ACC 2C WH/FA WIRE,Default Title,Default Title,,,6,1.26,shopify,330,deny,true,manual,legacy-import,0,0,0,330
acc-2c-1-tr-wire,2 CORE TRANSPARENT WIRE C/W STEEL CABLE,,,active,true,+ACC 2C/1 TR WIRE,Default Title,Default Title,,,8,1.2,shopify,716,deny,true,manual,"legacy-import, legacy-fractional-whse",0,0,0,716.5
acc-3c-bk-wire,3 CORE BLACK WIRE,,,draft,false,+ACC 3C BK WIRE,Default Title,Default Title,,,8,0.6,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",-1,0,0,-3
acc-3c-40-gy-wire,3COIL/40/0176 WIRE (GY),,NME,draft,false,+ACC 3C/40 GY WIRE,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-dead-stock",0,0,0,0
acc-400mm-rod,400MM ROD WITH BASE/1L ROUND,,,active,true,+ACC 400MM ROD,Default Title,Default Title,,,35,3,shopify,3,deny,true,manual,legacy-import,-1,0,0,3
acc-500mm-rod,500MM ROD WITH BASE/1L ROUND,,,active,true,+ACC 500MM ROD,Default Title,Default Title,,,40,3,shopify,5,deny,true,manual,legacy-import,0,0,0,5
acc-800mm-rod,800MM ROD WITH BASE/1L ROUND,,,active,true,+ACC 800MM ROD,Default Title,Default Title,,,55,3,shopify,10,deny,true,manual,legacy-import,0,0,0,10
acc-base-p181-3-rd,SY P181/3 ROUND BASE Ø300 WHITE (3xE27),,,active,true,+ACC BASE P181/3 RD,Default Title,Default Title,,,50,0,shopify,0,deny,true,manual,legacy-import,0,0,0,0
acc-base-p181-3-rect,SY P181/3 RECT BASE L650 WHITE (3xE27),,,draft,false,+ACC BASE P181/3 RECT,Default Title,Default Title,,,65,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",2,0,0,-1
acc-base-r300s,ROUND BASE (300MM) SSV,,,draft,false,+ACC BASE R300S,Default Title,Default Title,,,50,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",1,0,0,-22
acc-base-r400-1l-wh,BASE/1L ROUND Ø400 WHITE,,,active,true,+ACC BASE R400/1L WH,Default Title,Default Title,,,75,0,shopify,15,deny,true,manual,legacy-import,0,0,0,15
acc-base-r400b,ROUND BASE (400MM) BROWN,,,draft,false,+ACC BASE R400B,Default Title,Default Title,,,75,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-12
acc-base-r400s,ROUND BASE (400MM) SSV,,,draft,false,+ACC BASE R400S,Default Title,Default Title,,,75,15,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-9
acc-base-r500-wh,ROUND BASE (500MM) WHITE,,,active,true,+ACC BASE R500 WH,Default Title,Default Title,,,85,0,shopify,35,deny,true,manual,legacy-import,0,0,0,35
acc-base-r500s,ROUND BASE (500MM) SSV,,,draft,false,+ACC BASE R500S,Default Title,Default Title,,,85,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-1
acc-base-rd-1l,BASE/1L ROUND DIA-100MM SSV,,,active,true,+ACC BASE RD 1L,Default Title,Default Title,,,20,0.87,shopify,98,deny,true,manual,legacy-import,1,0,0,98
acc-base-rd-1l-ab,BASE/1L ROUND DIA-100MM ANTIQUE BRASS,,,active,true,+ACC BASE RD 1L AB,Default Title,Default Title,,,20,0.87,shopify,16,deny,true,manual,legacy-import,-3,0,0,16
acc-base-rd-1l-bk,BASE/1L ROUND DIA-120MM BLACK,,,active,true,+ACC BASE RD/1L BK,Default Title,Default Title,,,20,0.69,shopify,380,deny,true,manual,legacy-import,2,0,0,380
acc-base-rd-1l-cafe,ROUND BASE/1L (120MM) CAFÉ,,,active,true,+ACC BASE RD/1L CAFÉ,Default Title,Default Title,,,25,1.05,shopify,205,deny,true,manual,legacy-import,-1,0,7,205
acc-base-rd-1l-cr,BASE RD/1L DIA-100MM CHROME,,,active,true,+ACC BASE RD/1L CR,Default Title,Default Title,,,25,0.87,shopify,30,deny,true,manual,legacy-import,0,0,0,30
acc-base-rd-1l-wh,BASE/1L ROUND DIA-120MM WHITE,,,active,true,+ACC BASE RD/1L WH,Default Title,Default Title,,,25,0.6,shopify,173,deny,true,manual,legacy-import,-2,0,0,173
acc-base-rd3lb,BASE/3L ROUND 300MM BROWN,,,draft,false,+ACC BASE RD3LB,Default Title,Default Title,,,50,4.5,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-11
acc-base-str3l,BASE/3L STRAIGHT-700MM SSV,,,active,true,+ACC BASE STR3L,Default Title,Default Title,,,65,0,shopify,11,deny,true,manual,legacy-import,0,0,0,11
acc-base-str3l-wh,BASE/3L STRAIGHT-700MM WHITE,,,draft,false,+ACC BASE STR3L WH,Default Title,Default Title,,,65,0,shopify,0,deny,true,manual,"legacy-import, legacy-negative-whse",0,0,0,-2
acc-base-str5l,BASE/3-5L STRAIGHT-1000MM WHITE,,,active,true,+ACC BASE STR5L,Default Title,Default Title,,,85,0,shopify,13,deny,true,manual,legacy-import,0,0,0,13
acc-base-1l-3sc-s,BASE/1L SSV C/W 3 STEEL CABLE,,,active,true,+ACC BASE/1L/3SC S,Default Title,Default Title,,,60,0,shopify,17,deny,true,manual,legacy-import,0,0,0,17
acc-c-l-cap-ab,ANTIQUE BRASS CEILING CAP - NW,,,active,true,+ACC C/L CAP AB,Default Title,Default Title,,,45,0,shopify,8,deny,true,manual,legacy-import,0,0,0,8
acc-cap1p5-ccmc,CCM 1.5MM2 PVC CABLE (BLUE),,CHOOCHIANG,draft,false,+ACC CAP1P5.CCMC,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",29,0,0,0
acc-cap1p5-ccme,CCM 1.5MM2 PVC CABLE (GREEN/YELLOW),,CHOOCHIANG,draft,false,+ACC CAP1P5.CCME,Default Title,Default Title,,,0,0,shopify,0,deny,true,manual,"legacy-import, legacy-zero-retail",57,0,0,0
