Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-1000mm-rod,1M ROD WITH BASE/1L ROUND,Default Title,Default Title,,,,,+ACC 1000MM ROD,,,123 William Street,,,,,,,10
acc-1c-wh-wire,1 CORE WHITE WIRE,Default Title,Default Title,,,,,+ACC 1C WH WIRE,,,123 William Street,,,,,,,602
acc-2c-bk-wire,2 CORE BLACK WIRE,Default Title,Default Title,,,,,+ACC 2C BK WIRE,,,123 William Street,,,,,,,1045
acc-2c-bk-fa-wire,2 CORE BLACK FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C BK/FA WIRE,,,123 William Street,,,,,,,98
acc-2c-gr-fa-wire,2 CORE GREEN FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C GR/FA WIRE,,,123 William Street,,,,,,,242
acc-2c-or-fa-wire,2 CORE ORANGE FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C OR/FA WIRE,,,123 William Street,,,,,,,10
acc-2c-pk-fa-wire,2 CORE PINK FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C PK/FA WIRE,,,123 William Street,,,,,,,79
acc-2c-pp-fa-wire,2 CORE PURPLE FABRIC WIRE,Default Title,Default Title,,,,,+ACC 2C PP/FA WIRE,,,123 William Street,,,,,,,278
acc-2c-rd-fa-wire,2 CORE RED FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C RD/FA WIRE,,,123 William Street,,,,,,,197
acc-2c-t5-wh-wire,2 CORE WHITE WIRE (T5),Default Title,Default Title,,,,,+ACC 2C T5 WH WIRE,,,123 William Street,,,,,,,430
acc-2c-tr-wire,2CORE TRANSPARENT WIRE (METRE)-IID,Default Title,Default Title,,,,,+ACC 2C TR WIRE,,,123 William Street,,,,,,,697
acc-2c-tr-wire-hi-gh-heat,2C TRANSPARENT CABLE HIGH HEAT,Default Title,Default Title,,,,,+ACC 2C TR WIRE HI GH HEAT,,,123 William Street,,,,,,,270
acc-2c-wh-wire,2 CORE x 0.75 PVC WHITE WIRE (M),Default Title,Default Title,,,,,+ACC 2C WH WIRE,,,123 William Street,,,,,,,477
acc-2c-wh-fa-wire,2 CORE WHITE FABRIC CABLE,Default Title,Default Title,,,,,+ACC 2C WH/FA WIRE,,,123 William Street,,,,,,,330
acc-2c-1-tr-wire,2 CORE TRANSPARENT WIRE C/W STEEL CABLE,Default Title,Default Title,,,,,+ACC 2C/1 TR WIRE,,,123 William Street,,,,,,,716
acc-3c-bk-wire,3 CORE BLACK WIRE,Default Title,Default Title,,,,,+ACC 3C BK WIRE,,,123 William Street,,,,,,,0
acc-3c-40-gy-wire,3COIL/40/0176 WIRE (GY),Default Title,Default Title,,,,,+ACC 3C/40 GY WIRE,,,123 William Street,,,,,,,0
acc-400mm-rod,400MM ROD WITH BASE/1L ROUND,Default Title,Default Title,,,,,+ACC 400MM ROD,,,123 William Street,,,,,,,3
