Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare-at Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Alt Text
acc-1000mm-rod,1M ROD WITH BASE/1L ROUND,<p>1M ROD WITH BASE/1L ROUND</p><table><tbody><tr><th>source row</th><td>4</td></tr><tr><th>code</th><td>+ACC 1000MM ROD</td></tr><tr><th>description</th><td>1M ROD WITH BASE/1L ROUND</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>10</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>3.3</td></tr><tr><th>retail price</th><td>55</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 1000MM ROD,0,shopify,10,deny,manual,55,,true,true,,,
acc-1c-wh-wire,1 CORE WHITE WIRE,<p>1 CORE WHITE WIRE</p><table><tbody><tr><th>source row</th><td>5</td></tr><tr><th>code</th><td>+ACC 1C WH WIRE</td></tr><tr><th>description</th><td>1 CORE WHITE WIRE</td></tr><tr><th>vendor</th><td>ACETRONIC</td></tr><tr><th>whse</th><td>602</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0.24</td></tr><tr><th>retail price</th><td>2</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,ACETRONIC,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 1C WH WIRE,0,shopify,602,deny,manual,2,,true,true,,,
acc-2c-bk-wire,2 CORE BLACK WIRE,<p>2 CORE BLACK WIRE</p><table><tbody><tr><th>source row</th><td>6</td></tr><tr><th>code</th><td>+ACC 2C BK WIRE</td></tr><tr><th>description</th><td>2 CORE BLACK WIRE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>1045</td></tr><tr><th>rlf</th><td>-13</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0.45</td></tr><tr><th>retail price</th><td>5</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C BK WIRE,0,shopify,1045,deny,manual,5,,true,true,,,
acc-2c-bk-fa-wire,2 CORE BLACK FABRIC CABLE,<p>2 CORE BLACK FABRIC CABLE</p><table><tbody><tr><th>source row</th><td>7</td></tr><tr><th>code</th><td>+ACC 2C BK/FA WIRE</td></tr><tr><th>description</th><td>2 CORE BLACK FABRIC CABLE</td></tr><tr><th>vendor</th><td>FANCO</td></tr><tr><th>whse</th><td>98</td></tr><tr><th>rlf</th><td>-1</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,FANCO,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C BK/FA WIRE,0,shopify,98,deny,manual,6,,true,true,,,
acc-2c-gr-fa-wire,2 CORE GREEN FABRIC CABLE,<p>2 CORE GREEN FABRIC CABLE</p><table><tbody><tr><th>source row</th><td>8</td></tr><tr><th>code</th><td>+ACC 2C GR/FA WIRE</td></tr><tr><th>description</th><td>2 CORE GREEN FABRIC CABLE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>242</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C GR/FA WIRE,0,shopify,242,deny,manual,6,,true,true,,,
acc-2c-or-fa-wire,2 CORE ORANGE FABRIC CABLE,<p>2 CORE ORANGE FABRIC CABLE</p><table><tbody><tr><th>source row</th><td>9</td></tr><tr><th>code</th><td>+ACC 2C OR/FA WIRE</td></tr><tr><th>description</th><td>2 CORE ORANGE FABRIC CABLE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>10</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C OR/FA WIRE,0,shopify,10,deny,manual,6,,true,true,,,
acc-2c-pk-fa-wire,2 CORE PINK FABRIC CABLE,<p>2 CORE PINK FABRIC CABLE</p><table><tbody><tr><th>source row</th><td>10</td></tr><tr><th>code</th><td>+ACC 2C PK/FA WIRE</td></tr><tr><th>description</th><td>2 CORE PINK FABRIC CABLE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>79</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C PK/FA WIRE,0,shopify,79,deny,manual,6,,true,true,,,
acc-2c-pp-fa-wire,2 CORE PURPLE FABRIC WIRE,<p>2 CORE PURPLE FABRIC WIRE</p><table><tbody><tr><th>source row</th><td>11</td></tr><tr><th>code</th><td>+ACC 2C PP/FA WIRE</td></tr><tr><th>description</th><td>2 CORE PURPLE FABRIC WIRE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>278</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C PP/FA WIRE,0,shopify,278,deny,manual,6,,true,true,,,
acc-2c-rd-fa-wire,2 CORE RED FABRIC CABLE,<p>2 CORE RED FABRIC CABLE</p><table><tbody><tr><th>source row</th><td>12</td></tr><tr><th>code</th><td>+ACC 2C RD/FA WIRE</td></tr><tr><th>description</th><td>2 CORE RED FABRIC CABLE</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>197</td></tr><tr><th>rlf</th><td>0</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0</td></tr><tr><th>retail price</th><td>6</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc",true,Title,Default Title,,,,,+ACC 2C RD/FA WIRE,0,shopify,197,deny,manual,6,,true,true,,,
acc-2c-t5-wh-wire,2 CORE WHITE WIRE (T5),<p>2 CORE WHITE WIRE (T5)</p><table><tbody><tr><th>source row</th><td>13</td></tr><tr><th>code</th><td>+ACC 2C T5 WH WIRE</td></tr><tr><th>description</th><td>2 CORE WHITE WIRE (T5)</td></tr><tr><th>vendor</th><td></td></tr><tr><th>whse</th><td>430</td></tr><tr><th>rlf</th><td>-2</td></tr><tr><th>imm</th><td>0</td></tr><tr><th>export price</th><td>0.15</td></tr><tr><th>retail price</th><td>0</td></tr><tr><th>w. sale price</th><td>0</td></tr></tbody></table>,,ACC,"legacy-import, legacy-type-acc, legacy-zero-retail",false,Title,Default Title,,,,,+ACC 2C T5 WH WIRE,0,shopify,430,deny,manual,0,,true,true,,,
