Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
acc-1000mm-rod,1M ROD WITH BASE/1L ROUND,Title,Default Title,,,,,+ACC 1000MM ROD,,,,,,,,,,10
acc-1c-wh-wire,1 CORE WHITE WIRE,Title,Default Title,,,,,+ACC 1C WH WIRE,,,,,,,,,,602
acc-2c-bk-wire,2 CORE BLACK WIRE,Title,Default Title,,,,,+ACC 2C BK WIRE,,,,,,,,,,1045
acc-2c-bk-fa-wire,2 CORE BLACK FABRIC CABLE,Title,Default Title,,,,,+ACC 2C BK/FA WIRE,,,,,,,,,,98
acc-2c-gr-fa-wire,2 CORE GREEN FABRIC CABLE,Title,Default Title,,,,,+ACC 2C GR/FA WIRE,,,,,,,,,,242
acc-2c-or-fa-wire,2 CORE ORANGE FABRIC CABLE,Title,Default Title,,,,,+ACC 2C OR/FA WIRE,,,,,,,,,,10
acc-2c-pk-fa-wire,2 CORE PINK FABRIC CABLE,Title,Default Title,,,,,+ACC 2C PK/FA WIRE,,,,,,,,,,79
acc-2c-pp-fa-wire,2 CORE PURPLE FABRIC WIRE,Title,Default Title,,,,,+ACC 2C PP/FA WIRE,,,,,,,,,,278
acc-2c-rd-fa-wire,2 CORE RED FABRIC CABLE,Title,Default Title,,,,,+ACC 2C RD/FA WIRE,,,,,,,,,,197
acc-2c-t5-wh-wire,2 CORE WHITE WIRE (T5),Title,Default Title,,,,,+ACC 2C T5 WH WIRE,,,,,,,,,,430
acc-2c-tr-wire,2CORE TRANSPARENT WIRE (METRE)-IID,Title,Default Title,,,,,+ACC 2C TR WIRE,,,,,,,,,,697
acc-2c-tr-wire-hi-gh-heat,2C TRANSPARENT CABLE HIGH HEAT,Title,Default Title,,,,,+ACC 2C TR WIRE HI GH HEAT,,,,,,,,,,270
acc-2c-wh-wire,2 CORE x 0.75 PVC WHITE WIRE (M),Title,Default Title,,,,,+ACC 2C WH WIRE,,,,,,,,,,477
acc-2c-wh-fa-wire,2 CORE WHITE FABRIC CABLE,Title,Default Title,,,,,+ACC 2C WH/FA WIRE,,,,,,,,,,330
acc-2c-1-tr-wire,2 CORE TRANSPARENT WIRE C/W STEEL CABLE,Title,Default Title,,,,,+ACC 2C/1 TR WIRE,,,,,,,,,,716
acc-3c-bk-wire,3 CORE BLACK WIRE,Title,Default Title,,,,,+ACC 3C BK WIRE,,,,,,,,,,0
acc-3c-40-gy-wire,3COIL/40/0176 WIRE (GY),Title,Default Title,,,,,+ACC 3C/40 GY WIRE,,,,,,,,,,0
acc-400mm-rod,400MM ROD WITH BASE/1L ROUND,Title,Default Title,,,,,+ACC 400MM ROD,,,,,,,,,,3
acc-500mm-rod,500MM ROD WITH BASE/1L ROUND,Title,Default Title,,,,,+ACC 500MM ROD,,,,,,,,,,5
acc-800mm-rod,800MM ROD WITH BASE/1L ROUND,Title,Default Title,,,,,+ACC 800MM ROD,,,,,,,,,,10
acc-base-p181-3-rd,SY P181/3 ROUND BASE Ø300 WHITE (3xE27),Title,Default Title,,,,,+ACC BASE P181/3 RD,,,,,,,,,,0
acc-base-p181-3-rect,SY P181/3 RECT BASE L650 WHITE (3xE27),Title,Default Title,,,,,+ACC BASE P181/3 RECT,,,,,,,,,,0
acc-base-r300s,ROUND BASE (300MM) SSV,Title,Default Title,,,,,+ACC BASE R300S,,,,,,,,,,0
acc-base-r400-1l-wh,BASE/1L ROUND Ø400 WHITE,Title,Default Title,,,,,+ACC BASE R400/1L WH,,,,,,,,,,15
acc-base-r400b,ROUND BASE (400MM) BROWN,Title,Default Title,,,,,+ACC BASE R400B,,,,,,,,,,0
acc-base-r400s,ROUND BASE (400MM) SSV,Title,Default Title,,,,,+ACC BASE R400S,,,,,,,,,,0
acc-base-r500-wh,ROUND BASE (500MM) WHITE,Title,Default Title,,,,,+ACC BASE R500 WH,,,,,,,,,,35
acc-base-r500s,ROUND BASE (500MM) SSV,Title,Default Title,,,,,+ACC BASE R500S,,,,,,,,,,0
acc-base-rd-1l,BASE/1L ROUND DIA-100MM SSV,Title,Default Title,,,,,+ACC BASE RD 1L,,,,,,,,,,98
acc-base-rd-1l-ab,BASE/1L ROUND DIA-100MM ANTIQUE BRASS,Title,Default Title,,,,,+ACC BASE RD 1L AB,,,,,,,,,,16
acc-base-rd-1l-bk,BASE/1L ROUND DIA-120MM BLACK,Title,Default Title,,,,,+ACC BASE RD/1L BK,,,,,,,,,,380
acc-base-rd-1l-cafe,ROUND BASE/1L (120MM) CAFÉ,Title,Default Title,,,,,+ACC BASE RD/1L CAFÉ,,,,,,,,,,205
acc-base-rd-1l-cr,BASE RD/1L DIA-100MM CHROME,Title,Default Title,,,,,+ACC BASE RD/1L CR,,,,,,,,,,30
