reason,source row,code,description,vendor,whse,rlf,imm,export price,retail price,w. sale price
blank-code-crestar-report-artifact,2,,,CRESTAR,130,5,0,0,0,0
sentinel-100000-placeholder,3,+ACC,ACCESSORIES,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,7209,AIRFREIGHT,AIRFREIGHT CHARGE POSTAL CHARGE,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,8006,ASSEMBLING,3. ASSEMBLING,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,8517,BLINDS,"BLINDS - roller, bamboo, wooden and Venetian",,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,9217,CURTAINS,CURTAINS,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,9348,DEPOSIT,DEPOSIT,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,9350,DISBURSEMENTS,BEING DISBURSEMENTS INCURRED:-,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,11178,FREIGHT,4. FREIGHT,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,12760,INST. CHARGE,INSTALLATION CHARGE,,1E+05,1E+05,1E+05,0,30,0
sentinel-100000-placeholder,12763,INVOICE,INVOICE ITEM,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,12764,INVOICE ITEM,INVOICE ITEM,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,14923,MM,MM,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,15264,PACKING MATERIALS,2. PACKING MATERIALS,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,17777,SPECIAL LESS,SPECIAL LESS,,1E+05,1E+05,1E+05,0,0,0
sentinel-100000-placeholder,19333,TRAVELLING,1. TRAVELLING,,1E+05,1E+05,1E+05,0,0,0
